idx,srcType,factoryName,area1,area2,area3,address,Latitude,Longitude,Product,yearPermitted,yearClosed,Remarks
1177,repa,지오고성조선,경남,고성,동해,경남 고성군 동해면 장좌리 77,34.9947839,128.4741765,,0,0,
1178,repa,스코트라,경남,김해,삼정,경남 김해시 삼정동 661-14 화성빌딩 4층,35.2282476,128.8996025,,0,0,
1179,repa,우남마린,경남,김해,상동,경남김해시상동면매리693 ,35.3070381,128.95374,,0,0,
1180,repa,대원기계(주),경남,김해,생림,경남 김해시 생림면 나전리?665,35.32815,128.849138,,0,0,
1181,repa,비씨태창산업(유),경남,김해,안동,경남 김해시 안동?402-7,35.2285766,128.8893277,,0,0,
1182,repa,창남조선,경남,남해,창선,경남 남해군 창선면 대벽리 39-17,34.9139755,128.0304228,,0,0,
1183,repa,타코마,경남,마산,   ,경남 마산시,35.2209315,128.5797119,,0,0,
1184,repa,세양마리녹스,경남,마산,진전,경남 마산시 진전면 율티리 147번지,35.109179,128.4594039,,0,0,
1185,repa,구복조선소,경남,마산,합포,경남 마산시 합포구 구산면 구복리 273,35.2209315,128.5797119,,0,0,
1186,repa,전진조선소,경남,마산,합포,경남 마산시 합포구 진동면 고현리 99-1,35.2209315,128.5797119,,0,0,
1187,repa,제일조선소,경남,사천,대방,경남 사천시 대방동 308-2,34.9296194,128.0544473,,0,0,
1188,repa,해진,경남,사천,사남,경남 사천시 사남면 방지리 735,35.0625283,128.0462912,,0,0,
1189,repa,에이치케이조선,경남,사천,사등,경남 사천시 사등동 236,34.9259921,128.1025463,,0,0,
1190,repa,삼선조선소,경남,사천,서금,경남 사천시 서금동 112-3,34.923479,128.0740187,,0,0,
1191,repa,한남조선,경남,사천,송포,경남 사천시 송포동 1539-2,34.9742859,128.0513499,,0,0,
1192,repa,신흥조선소,경남,진해,대죽,경남 진해시 대죽동 1-1,35.1387188,128.6727151,,0,0,
1193,repa,금오자원개발,경남,창녕,영산,경남 창녕군 영산면 신제리 62,35.4416986,128.5097547,,0,0,
1194,repa,건창,경남,창원,진해,경남 창원시 진해구 원포동 100 STX조선내,35.109615,128.7160879,,0,0,
1195,repa,신진냉동배관,경남,창원,진해,경남 창원시 진해구 원포동 100,35.109615,128.7160879,,0,0,
1196,repa,중앙기업,경남,창원,진해,경남 창원시 진해구 원포동 100,35.109615,128.7160879,,0,0,
